"","Name","Occupation","Country","URL","promotion","licence_year","year0","year1","year2","year3","year4","year5","year6","year7","year8","Company","Position","Status","Type"
"1","a9240fad37c5b24f86528cb7a777af7d","Research trainee in immunology at CIML","France","e06c40c2198a7590a251ab3472f1298b","Promotion Azote 2017-2018","2020",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CIML","Research trainee in immunology","Private","Research"
"2","a9240fad37c5b24f86528cb7a777af7d","Research trainee in immunology at CIML","France","e06c40c2198a7590a251ab3472f1298b","Promotion Azote 2017-2018","2020",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Institut Curie","Research trainee in haematology/ biophysics","Public","Research"
"3","a9240fad37c5b24f86528cb7a777af7d","Research trainee in immunology at CIML","France","e06c40c2198a7590a251ab3472f1298b","Promotion Azote 2017-2018","2020",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ExoSwitch / iGEM Université de Paris","Team member / iGEM competition","Public","Other"
"4","a9240fad37c5b24f86528cb7a777af7d","Research trainee in immunology at CIML","France","e06c40c2198a7590a251ab3472f1298b","Promotion Azote 2017-2018","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Institut Pasteur","Research trainee in cancer immunology","Public","Research"
"5","601d4f15cc5079606787744693d22bce","Business Operation Project Manager at Hublo","France","a8cff724ab7dcb81744df40b3a4565c6","Promotion Azote 2017-2018","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"EIT Health","Innovation Days for Health","Private","Other"
"6","601d4f15cc5079606787744693d22bce","Business Operation Project Manager at Hublo","France","a8cff724ab7dcb81744df40b3a4565c6","Promotion Azote 2017-2018","2020",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Hublo","Business Operation Project Manager","Private","Other"
"7","601d4f15cc5079606787744693d22bce","Business Operation Project Manager at Hublo","France","a8cff724ab7dcb81744df40b3a4565c6","Promotion Azote 2017-2018","2020",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Hublo","Client Relation Operations Project Manager","Private","Other"
"8","601d4f15cc5079606787744693d22bce","Business Operation Project Manager at Hublo","France","a8cff724ab7dcb81744df40b3a4565c6","Promotion Azote 2017-2018","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Hublo (ex medGo & Whoog)","Operations Manager & Users support assistant","Private","Other"
"9","a42d99b2480095a7cc4de90432dc47ed","Country Business Development at Tovaritch International Spirit S.A","Italy","5d358d1c4622627cf476b903da05204f","Promotion Azote 2017-2018","2020",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tovaritch International Spirit S.A","Country Business Development","Private","Other"
"10","a42d99b2480095a7cc4de90432dc47ed","Country Business Development at Tovaritch International Spirit S.A","Italy","5d358d1c4622627cf476b903da05204f","Promotion Azote 2017-2018","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Vosges Structure Bois, VSB","Commercial Management Operations","Private","Other"
"11","a42d99b2480095a7cc4de90432dc47ed","Country Business Development at Tovaritch International Spirit S.A","Italy","5d358d1c4622627cf476b903da05204f","Promotion Azote 2017-2018","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CRI - Centre de Recherches Interdisciplinaires","Alumni Student","Public","Student"
"12","fd9e1c29af79ecdaedb5432dccb96368","Stagiaire at GreenBack","France","18062626ceb4fbee26f19faeb88a8ddb","Promotion Azote 2017-2018","2020",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"GreenBack","Stagiaire","Private","Student"
"13","241e18229edf1e814d5bdb02fbace1f4","Animator & project assistant at Association Plaisir Maths","France","3d61a93fdc253f1334a0c2d32de1fc5e","Promotion Azote 2017-2018","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Cercle FSER","Project Manager","Private","Other"
"14","241e18229edf1e814d5bdb02fbace1f4","Animator & project assistant at Association Plaisir Maths","France","3d61a93fdc253f1334a0c2d32de1fc5e","Promotion Azote 2017-2018","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Association Plaisir Maths","Animator & project assistant","Private","Other"
"15","241e18229edf1e814d5bdb02fbace1f4","Animator & project assistant at Association Plaisir Maths","France","3d61a93fdc253f1334a0c2d32de1fc5e","Promotion Azote 2017-2018","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Savanturiers - L'Ecole de la Recherche","Scientific Animator","Public","Other"
"16","2d65463c429bffab4f98d166411e7a89","Étudiante at École normale supérieure Paris-Saclay","France","dfe1e77ea3be4ceeffac3682c407a6aa","Promotion Azote 2017-2018","2020",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"École normale supérieure Paris-Saclay","Étudiante","Public","Student"
