"","Name","Occupation","Country","URL","year","phd_year","year0","year1","year2","year3","year4","year5","year6","year7","year8","year9","year10","year11","year12","Company","Position","Status","Status.v2","Type"
"1","6b59fe70d873cab32889f868b49d7556","Optimisation de réapprovisionnement at Decathlon France","France","87f9b6030d22bb591336a032af8f72c4","ED 11-12","2014",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Campus Maestris Lille","Enseignant","Private","Private","Other"
"2","6b59fe70d873cab32889f868b49d7556","Optimisation de réapprovisionnement at Decathlon France","France","87f9b6030d22bb591336a032af8f72c4","ED 11-12","2014",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Codéléon","Auto entrepreneur","Private","Private","Entrepreneurship"
"3","6b59fe70d873cab32889f868b49d7556","Optimisation de réapprovisionnement at Decathlon France","France","87f9b6030d22bb591336a032af8f72c4","ED 11-12","2014",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Decathlon France","Optimisation de réapprovisionnement","Private","Private","Other"
"4","6b59fe70d873cab32889f868b49d7556","Optimisation de réapprovisionnement at Decathlon France","France","87f9b6030d22bb591336a032af8f72c4","ED 11-12","2014",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"free lance","Consultant F&R freelance Brico Dépot","Private","Private","Entrepreneurship"
"5","6b59fe70d873cab32889f868b49d7556","Optimisation de réapprovisionnement at Decathlon France","France","87f9b6030d22bb591336a032af8f72c4","ED 11-12","2014",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Sopra Steria","consultant SAP F&R","Private","Private","Other"
"6","2bea94c16a9dbce392ceacab8f701e89","Data Scientist at Braincube","France","dffe7aea19d0df1a14cd2371328ba394","ED 12-13","2015",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Braincube","Data Scientist","Private","Private","Other"
"7","2bea94c16a9dbce392ceacab8f701e89","Data Scientist at Braincube","France","dffe7aea19d0df1a14cd2371328ba394","ED 12-13","2015",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"French National Institute of Agricultural Research","PhD thesis","Public","Public","Student"
"8","2bea94c16a9dbce392ceacab8f701e89","Data Scientist at Braincube","France","dffe7aea19d0df1a14cd2371328ba394","ED 12-13","2015",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"McGill University: Research, Partnerships & More","Postdoctoral Fellow","Public","Public","Research"
"9","876cdc8c8503f1fbcb51599a0f71094f","Chef de projet en charge de l'innovation ouverte at INSEP - Institut National du Sport, de l'Expertise et de la Performance","France","985067eef12cfe9f7132cdfd225518e1","ED 13-14","2016",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"INSEP - Institut National du Sport, de l'Expertise et de la Performance","Chef de projet en charge de l'innovation ouverte","Public","Public","Other"
"10","876cdc8c8503f1fbcb51599a0f71094f","Chef de projet en charge de l'innovation ouverte at INSEP - Institut National du Sport, de l'Expertise et de la Performance","France","985067eef12cfe9f7132cdfd225518e1","ED 13-14","2016",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"INSEP - Institut National du Sport, de l'Expertise et de la Performance","Chef de projet en charge de la valorisation de la recherche","Public","Public","Other"
"11","876cdc8c8503f1fbcb51599a0f71094f","Chef de projet en charge de l'innovation ouverte at INSEP - Institut National du Sport, de l'Expertise et de la Performance","France","985067eef12cfe9f7132cdfd225518e1","ED 13-14","2016",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"INSEP - Institut National du Sport, de l'Expertise et de la Performance","Research Fellow","Public","Public","Research"
"12","876cdc8c8503f1fbcb51599a0f71094f","Chef de projet en charge de l'innovation ouverte at INSEP - Institut National du Sport, de l'Expertise et de la Performance","France","985067eef12cfe9f7132cdfd225518e1","ED 13-14","2016",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Université de Paris","PhD student / Postdoctoral Fellow","Public","Public","Research"
"13","30746313f3bd53c3f32ac68c02258c90","Research and Development Project Manager at Stem Genomics","France","472cbf9ba28179a70ca7e9c398315037","ED 09-10","2012",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Singapore-MIT Alliance for Research & Technology Centre","Research Associate","Private","Public","Research"
"14","30746313f3bd53c3f32ac68c02258c90","Research and Development Project Manager at Stem Genomics","France","472cbf9ba28179a70ca7e9c398315037","ED 09-10","2012",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Stem Genomics","Research and Development Project Manager","Private","Public","Research"
"15","30746313f3bd53c3f32ac68c02258c90","Research and Development Project Manager at Stem Genomics","France","472cbf9ba28179a70ca7e9c398315037","ED 09-10","2012",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Université Paris Diderot (Paris 7)","PhD in Biophysics","Public","Public","Student"
"16","30746313f3bd53c3f32ac68c02258c90","Research and Development Project Manager at Stem Genomics","France","472cbf9ba28179a70ca7e9c398315037","ED 09-10","2012",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"University College London","Research Associate | Human Frontier Science Program Fellow","Public","Public","Research"
"17","8453bebd4d0ecdf88930e0daf4e4fcd3","Co-founder & CEO at Epigene Labs","France","2cf822a70759271209592e87551c1519","ED 13-14","2016",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Broad Institute of MIT and Harvard","Affiliate Scientist","Private","Public","Research"
"18","8453bebd4d0ecdf88930e0daf4e4fcd3","Co-founder & CEO at Epigene Labs","France","2cf822a70759271209592e87551c1519","ED 13-14","2016",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Epigene Labs","Co-founder & CEO","Private","Private","Entrepreneurship"
"19","8453bebd4d0ecdf88930e0daf4e4fcd3","Co-founder & CEO at Epigene Labs","France","2cf822a70759271209592e87551c1519","ED 13-14","2016",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Harvard Medical School","Visiting Scientist","Private","Public","Research"
"20","8453bebd4d0ecdf88930e0daf4e4fcd3","Co-founder & CEO at Epigene Labs","France","2cf822a70759271209592e87551c1519","ED 13-14","2016",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Institut Curie","Postdoctoral Scientist","Public","Public","Research"
"21","8453bebd4d0ecdf88930e0daf4e4fcd3","Co-founder & CEO at Epigene Labs","France","2cf822a70759271209592e87551c1519","ED 13-14","2016",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Institut Curie","Doctoral Scientist","Public","Public","Student"
"22","8453bebd4d0ecdf88930e0daf4e4fcd3","Co-founder & CEO at Epigene Labs","France","2cf822a70759271209592e87551c1519","ED 13-14","2016",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Massachusetts General Hospital","Visiting Scientist","Public","Public","Research"
"23","4d76a93fb87464bc4240c79df3bbcb3f","Head of Value at OneClinic","France","c9f85887962d082d6ab9c67cacb6b455","ED 16-17","2019",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"OneClinic","Head of Value","Private","Private","Other"
"24","4d76a93fb87464bc4240c79df3bbcb3f","Head of Value at OneClinic","France","c9f85887962d082d6ab9c67cacb6b455","ED 16-17","2019",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Reseau BIOTechno","Responsible of industrial partnerships","Private","Private","Other"
"25","4d76a93fb87464bc4240c79df3bbcb3f","Head of Value at OneClinic","France","c9f85887962d082d6ab9c67cacb6b455","ED 16-17","2019",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"INSERM","Postdoctoral Researcher","Public","Public","Research"
"26","4d76a93fb87464bc4240c79df3bbcb3f","Head of Value at OneClinic","France","c9f85887962d082d6ab9c67cacb6b455","ED 16-17","2019",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"INSERM","PHD Student","Public","Public","Student"
"27","4d76a93fb87464bc4240c79df3bbcb3f","Head of Value at OneClinic","France","c9f85887962d082d6ab9c67cacb6b455","ED 16-17","2019",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Université Paris Descartes","Project Manager and Research Engineer","Public","Public","Research"
"28","1a3b42c3aacaf0ffef5c6e7d6b466d22","Postdoctoral Researcher at Institut Pasteur","France","afcdc55be854cb21845a405528794111","ED 16-17","2019",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Institut Pasteur","Postdoctoral Researcher","Private","Public","Research"
"29","846ce5036a2ac9606a39f3cbde69b17d","Scientist II, Molecular and Cellular Engineering - Biotherapeutics at Codexis, Inc.","United States of America","b2afab38831e867ffd75c61916108a7d","ED 12-13","2015",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Codexis, Inc.","Scientist II, Molecular and Cellular Engineering - Biotherapeutics","Private","Private","Other"
"30","846ce5036a2ac9606a39f3cbde69b17d","Scientist II, Molecular and Cellular Engineering - Biotherapeutics at Codexis, Inc.","United States of America","b2afab38831e867ffd75c61916108a7d","ED 12-13","2015",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Institut Pasteur","Postdoctoral Researcher","Private","Public","Research"
"31","846ce5036a2ac9606a39f3cbde69b17d","Scientist II, Molecular and Cellular Engineering - Biotherapeutics at Codexis, Inc.","United States of America","b2afab38831e867ffd75c61916108a7d","ED 12-13","2015",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Institut Pasteur","PhD student","Private","Public","Student"
"32","846ce5036a2ac9606a39f3cbde69b17d","Scientist II, Molecular and Cellular Engineering - Biotherapeutics at Codexis, Inc.","United States of America","b2afab38831e867ffd75c61916108a7d","ED 12-13","2015",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Stanford University","Postdoctoral Researcher","Private","Public","Research"
"33","6e56ce15942924d1cc1e8e27161edffa","Senior Staff Scientist at Helix","United States of America","daa528f14f739f035f3f973fe74829c6","ED 08-09","2011",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Helix","Senior Staff Scientist","Private","Private","Other"
