"","Name","Occupation","Current.company","Location","URL","year","master_year","year0","year1","year2","year3","year4","year5","year6","year7","year8","year9","year10","year11","year12","year13","year14","year15","year16","year17","Position","Company","Status","Type"
"1","868252292f5b4aa8b0e4370b1c89f567","Co-founder, Edtech Connections","Edtech Connections","Paris, Île-de-France, France","81903fcf672a5d173ad46f2d62315c54","2018-2019","2019",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Facilitator","#LearningPlanet","Public","Other"
"2","53906709ba5fd0aa0a7da4fdc8087ef9","Group External Communications Manager chez Saft","Saft","Reims, Grand Est, France","db28c84d072981b215d8652f9f0e353c","2010/2011","2011",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Web & Advertising Editor","1&1 Internet AG · Permanent","Private","Other"
"3","eef903e7a28c1cc4898d5cb5c884518a","Professor French Military Medical Service MD OF-5","Hôpital d’instruction des armées Percy","Paris, Île-de-France, France","17f1dd69c3c7539feb1fff98c37ffc63","2012/2013","2013",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Anesthésiste Réanimateur","14ème Antenne Chirurgicale Parachutiste","Private","Other"
"4","8fcd8f22bd96c303c8882059e25ad93a","NLP Engineer at 365Talents","365Talents","Lyon, Auvergne-Rhône-Alpes, France","e3584c6b7aa612b0c35e705adc0f5943","2009/2010","2010",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"NLP Engineer","365Talents · Full-time","Private","Other"
"5","3992a291be830c0adf569fd6ee19838c","Co-Founder at Gouach. Building repairable electric batteries 🔋 for a sustainable e-mobility 🚲. 🚀 We're hiring! 😍","Gouach","Paris, Île-de-France, France","8b2619f2368ee403f2a3219719aa6485","2006/2007","2007",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Co-founder","8pen","Private","Entrepreneur"
"6","9c55636c1f05ff81ff10e7b387983f22","eTMF Services Coordinator | MSc | PRINCE2","Montrium","Montreal, Quebec, Canada","47b90f8a32c5a7bd31ac67635c8ef211","2012/2013","2013",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Assistant Project Manager & Lead Document Controller","Aarhus Letbane I/S","Private","Other"
"7","742802099682344cdc15d4a651e9f7f3","Automating organizations processes by introducing and implementing Machine Learning","Keep-Current","Vienna, Vienna, Austria","f450180b383d1a85922ba01b16dc1b3d","2012/2013","2013",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Senior Research And Development Engineer","Abacus Accounting Technologies GmbH · Part-time","Private","Research"
"8","1f9ca91759511f1c49f8078a1a196bb4","Directeur Médical, Mila","Mila","Paris, Île-de-France, France","85b1471d14e0b4b6ad0c4a018c67e731","2010/2011","2011",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MD Resident. Junior HEOR Associate","AbbVie","Private","Other"
"9","f5e9ec2de5b95c7879fd94e48c3ffa1d","Drug disc & synbio research group leader","INSERM","Région métropolitaine de New York City","5dedc858080df1554773a1bc15dce877","2012/2013","2013",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Co-founder","Abolis Biotechnologies SAS","Private","Entrepreneur"
"10","52a206c96b45a9ba28a62941691da571","Développeuse","Université de Cergy-Pontoise","Geneva Metropolitan Area","1fdcc1158961863756c7735f19e3b2bc","2013/2014","2014",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Professeur des écoles","Académie de Paris · Internship","Public","Research"
